filename, language, JavaScript, JSON, comment, blank, total
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\asset\serviceAccountKey.json, JSON, 0, 12, 0, 1, 13
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\data.js, JavaScript, 17, 0, 4, 6, 27
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\import.js, JavaScript, 15, 0, 8, 7, 30
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\index.js, JavaScript, 31, 0, 17, 8, 56
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\package-lock.json, JSON, 0, 2203, 0, 1, 2204
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\package.json, JSON, 0, 28, 0, 1, 29
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\admin.js, JavaScript, 140, 0, 46, 11, 197
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\group.js, JavaScript, 468, 0, 96, 43, 607
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\news.js, JavaScript, 197, 0, 61, 16, 274
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\sec.js, JavaScript, 250, 0, 77, 35, 362
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\student.js, JavaScript, 117, 0, 27, 10, 154
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\subject.js, JavaScript, 381, 0, 94, 30, 505
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\teacher.js, JavaScript, 91, 0, 31, 9, 131
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\user.js, JavaScript, 239, 0, 58, 19, 316
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\controller\work.js, JavaScript, 208, 0, 53, 36, 297
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\dlc.js, JavaScript, 109, 0, 10, 4, 123
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\service\route.js, JavaScript, 80, 0, 98, 72, 250
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\src\config.js, JavaScript, 9, 0, 2, 0, 11
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\src\server.js, JavaScript, 23, 0, 14, 6, 43
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\test\asaw.js, JavaScript, 81, 0, 191, 30, 302
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\test\data.js, JavaScript, 33, 0, 3, 7, 43
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\test\test.js, JavaScript, 138, 0, 21, 31, 190
c:\Users\Zchwarzlanky\Documents\Programming\chatbotTsit\functions\test\workNumber.js, JavaScript, 48, 0, 3, 19, 70
Total, -, 2675, 2243, 914, 402, 6234